"","ACL","ZIP","IP","VMP","NVM","TDM","TDC","TDCH","TEM","TEC","TECH","TNM","TNC","TNCH","TIM","TIC","TICH","CSC","Churn"
"31",142,415,"No","No",0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,"NO"
"32",75,510,"No","No",0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,"NO"
"33",172,408,"No","No",0,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,"NO"
"35",57,408,"No","Yes",25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0,"NO"
"39",136,415,"Yes","Yes",33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,"NO"
"40",149,408,"No","No",0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,"NO"
"41",98,408,"No","No",0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,"NO"
"42",135,408,"Yes","Yes",41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,"YES"
"43",34,510,"No","No",0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2,"NO"
"44",160,415,"No","No",0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,"NO"
"45",64,510,"No","No",0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,"NO"
"46",59,408,"No","Yes",28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2,"NO"
"47",65,415,"No","No",0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,"NO"
"48",142,408,"No","No",0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2,"NO"
"49",119,415,"No","No",0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,"YES"
"51",52,408,"No","No",0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,"NO"
"52",60,408,"No","No",0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,"NO"
"53",10,408,"No","No",0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,"NO"
"54",96,415,"No","No",0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,"NO"
"55",87,415,"No","No",0,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,"YES"
"56",81,408,"No","No",0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,"NO"
"57",141,415,"No","No",0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1,"NO"
"58",121,408,"No","Yes",30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,"YES"
"60",125,408,"No","No",0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1,"NO"
"62",116,415,"No","Yes",34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,"NO"
"64",149,408,"No","Yes",28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,"NO"
"65",38,408,"No","No",0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2,"NO"
"66",40,415,"No","Yes",41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,"NO"
"67",43,415,"Yes","No",0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,"NO"
"69",126,408,"No","No",0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,"NO"
"70",150,510,"No","No",0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,"YES"
"71",138,408,"No","No",0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,"NO"
"72",162,510,"No","Yes",46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0,"NO"
"74",90,415,"No","No",0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,"NO"
"75",85,415,"No","No",0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,"NO"
"76",50,415,"No","No",0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,"NO"
"77",82,415,"No","No",0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0,"YES"
"78",144,408,"No","No",0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4,"YES"
"79",46,415,"No","No",0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,"NO"
"80",70,408,"No","No",0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,1,"NO"
"81",144,415,"No","No",0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1,"NO"
"82",116,415,"Yes","No",0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,"NO"
"83",55,408,"No","Yes",25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,3,"NO"
"84",70,415,"No","Yes",24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,"NO"
"85",106,510,"No","No",0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,"YES"
"86",128,510,"No","Yes",29,179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,0,"NO"
"90",128,415,"No","No",0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,"YES"
"91",82,510,"No","No",0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,1,"NO"
"93",80,415,"No","No",0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,"NO"
"94",78,415,"No","No",0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,"NO"
"95",90,415,"No","No",0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,"NO"
"96",104,408,"No","No",0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1,"NO"
"97",73,415,"No","No",0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,"NO"
"98",99,415,"No","No",0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,"NO"
"99",120,408,"No","No",0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,"YES"
"100",77,415,"No","No",0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,"YES"
"101",98,510,"No","Yes",21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,"NO"
"102",108,415,"No","No",0,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,"NO"
"103",135,415,"No","No",0,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,0,"NO"
"104",95,408,"No","No",0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,"NO"
"106",95,408,"No","No",0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,"NO"
"108",93,510,"No","Yes",21,117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,1,"NO"
"110",157,408,"No","No",0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,"NO"
"111",120,408,"No","No",0,165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,"NO"
"112",103,415,"No","No",0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,"NO"
"116",36,510,"Yes","Yes",42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0,"YES"
"118",74,415,"No","No",0,282.5,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54,1,"YES"
"119",112,510,"No","Yes",36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,2,"NO"
"123",121,510,"No","No",0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,"NO"
"124",193,415,"No","No",0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,"NO"
"125",130,510,"No","No",0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,"NO"
"126",85,408,"No","No",0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,1,"NO"
"127",162,415,"No","No",0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,"YES"
"128",61,510,"No","Yes",27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,"YES"
"131",90,415,"No","No",0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,"NO"
"132",75,408,"No","No",0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,"NO"
"133",78,415,"No","No",0,231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,"NO"
"134",82,408,"No","No",0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,"NO"
"136",91,510,"Yes","No",0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,"NO"
"137",75,415,"No","Yes",21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,"NO"
"138",91,510,"No","No",0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,3,"NO"
"139",127,510,"No","Yes",36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,"NO"
"141",110,510,"No","No",0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,"NO"
"142",120,415,"No","Yes",39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,"NO"
"143",157,415,"No","Yes",28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,"NO"
"144",103,510,"No","No",0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,"NO"
"146",140,415,"No","No",0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,"NO"
"148",83,408,"Yes","No",0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,"NO"
"149",121,408,"No","No",0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,"NO"
"150",145,408,"No","Yes",43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,2,"NO"
"151",113,408,"No","No",0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,"NO"
"152",117,415,"No","No",0,102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,1,"NO"
"153",65,408,"No","No",0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,"NO"
"154",56,415,"No","No",0,226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,"NO"
"155",96,415,"No","No",0,260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,5,"NO"
"158",139,510,"No","Yes",23,157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,0,"NO"
"159",6,510,"No","No",0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,"NO"
"160",115,510,"No","Yes",24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,"NO"
"161",87,415,"No","No",0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,"NO"
"162",141,415,"No","No",0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,"NO"
"163",141,510,"No","Yes",36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,"NO"
"164",62,415,"No","No",0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,"NO"
"165",146,415,"No","No",0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,"NO"
"166",92,415,"No","Yes",33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,"NO"
"167",185,510,"No","Yes",31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,"NO"
"172",64,408,"No","Yes",27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,"NO"
"173",25,415,"No","No",0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,"NO"
"174",65,415,"No","No",0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,"NO"
"175",179,408,"No","No",0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,"NO"
"176",94,415,"No","No",0,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,2,"NO"
"178",127,415,"No","No",0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,"NO"
"179",116,408,"No","No",0,173.5,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37,3,"NO"
"180",70,408,"No","No",0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,3,"NO"
"181",94,510,"Yes","Yes",23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,"NO"
"182",126,415,"No","No",0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,"YES"
"184",19,408,"No","No",0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,"NO"
"188",93,415,"No","No",0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,"NO"
"189",164,510,"No","No",0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,1,"NO"
"190",51,408,"No","No",0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,"NO"
"191",107,415,"No","No",0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,"NO"
"192",130,415,"No","No",0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1,"NO"
"193",80,408,"No","No",0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,"NO"
"194",94,415,"No","No",0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0,"NO"
"195",118,408,"No","Yes",23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,"NO"
"198",208,510,"No","No",0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,"YES"
"199",131,510,"Yes","Yes",26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,"YES"
"200",63,408,"No","No",0,83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,0,"NO"
"201",53,415,"No","Yes",24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,"NO"
"202",62,408,"No","No",0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,2,"NO"
"204",105,510,"No","No",0,140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84,2,"NO"
"205",157,415,"No","No",0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,"NO"
"207",122,415,"No","No",0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,"NO"
"208",38,415,"No","No",0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,"NO"
"210",99,510,"No","No",0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,"NO"
"211",99,415,"No","No",0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,"NO"
"213",82,415,"No","Yes",24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,"NO"
"215",70,510,"Yes","No",0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,"YES"
"216",93,415,"No","No",0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,"NO"
"217",93,415,"No","No",0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,"NO"
"219",136,415,"No","No",0,250.2,121,42.53,267.1,118,22.7,151,114,6.8,13,2,3.51,1,"YES"
"220",106,415,"No","No",0,223,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,"NO"
"221",81,415,"No","No",0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,"NO"
"222",127,408,"No","Yes",22,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,"NO"
"223",65,415,"No","No",0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,"NO"
"226",65,415,"No","No",0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,"NO"
"227",123,415,"No","No",0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,"NO"
"228",126,408,"No","Yes",27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,"NO"
"229",104,415,"No","Yes",23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,"NO"
"230",45,415,"No","Yes",22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,"NO"
"231",93,408,"Yes","No",0,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84,0,"YES"
"232",63,415,"Yes","Yes",36,199,110,33.83,291.3,111,24.76,197.6,92,8.89,11,6,2.97,1,"NO"
"235",92,415,"Yes","No",0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9,5,2.43,1,"NO"
"236",139,510,"No","No",0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,"YES"
"237",110,408,"No","Yes",40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9,9,2.43,2,"NO"
"238",110,408,"No","No",0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,"NO"
"239",215,510,"No","No",0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,"NO"
"242",137,415,"Yes","No",0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,"YES"
"243",36,415,"No","No",0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,"NO"
"244",85,408,"No","No",0,225,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,"NO"
"245",108,408,"No","No",0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,"YES"
"246",22,408,"No","No",0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,"NO"
"247",107,415,"No","Yes",37,60,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3,0,"NO"
"248",51,510,"No","No",0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,"NO"
"249",94,408,"No","No",0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,"NO"
"250",119,510,"No","Yes",23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,2,"NO"
"251",33,415,"No","Yes",29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,"YES"
"252",106,415,"No","No",0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4,"NO"
"253",82,408,"No","No",0,207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,"NO"
"254",86,510,"No","Yes",41,119,101,20.23,230,134,19.55,236.9,58,10.66,9.5,3,2.57,0,"NO"
"255",97,415,"Yes","No",0,143.7,117,24.43,273,82,23.21,178.3,81,8.02,10.9,3,2.94,0,"NO"
"256",106,408,"No","Yes",32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,"NO"
"257",108,510,"No","No",0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,"NO"
"258",114,415,"No","No",0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,"NO"
"259",92,408,"Yes","No",0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,"YES"
"260",59,510,"No","No",0,155.2,79,26.38,235.3,123,20,169.4,80,7.62,8.7,4,2.35,1,"NO"
"261",24,510,"No","Yes",25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,"NO"
"262",151,408,"No","No",0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,"NO"
"263",117,415,"No","No",0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,"NO"
"264",78,510,"No","No",0,168.3,110,28.61,221.2,73,18.8,241,136,10.85,12.5,1,3.38,1,"NO"
"265",155,408,"No","No",0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,"NO"
"266",114,510,"No","Yes",30,206.2,79,35.05,260,91,22.1,291.6,83,13.12,11.4,6,3.08,1,"NO"
"267",114,510,"No","Yes",28,225.8,94,38.39,193,117,16.41,232.4,100,10.46,8.4,9,2.27,4,"NO"
"268",119,408,"No","No",0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3,"NO"
"269",64,510,"No","Yes",48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,"NO"
"270",118,408,"Yes","No",0,160,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,"NO"
"271",101,415,"No","No",0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,"NO"
"275",92,408,"No","Yes",28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10,3,2.7,1,"NO"
"276",83,415,"No","No",0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,"NO"
"277",148,510,"Yes","No",0,218.9,88,37.21,208,85,17.68,203.3,99,9.15,11.1,4,3,0,"NO"
"278",144,408,"No","Yes",48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,"YES"
"280",146,510,"Yes","No",0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,"NO"
"282",81,415,"No","No",0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,"NO"
"283",48,415,"No","Yes",37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,"NO"
"284",86,415,"No","Yes",28,221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9,2,2.43,1,"NO"
"285",71,415,"No","No",0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,"NO"
"286",145,408,"No","Yes",24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,"NO"
"288",137,408,"No","No",0,205.9,88,35,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2,"NO"
"290",89,510,"No","No",0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,"YES"
"291",199,415,"No","Yes",34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8,2,2.16,0,"NO"
"293",94,510,"No","No",0,177.1,112,30.11,194,112,16.49,146.7,108,6.6,5.9,4,1.59,1,"NO"
"295",96,510,"No","Yes",18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,"NO"
"297",74,415,"No","No",0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,"NO"
"298",36,415,"No","No",0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,"NO"
"299",113,415,"No","No",0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,"NO"
